Title,Author,Rating
A Man Worth Fighting For (Wiccan Haus #2),Sara  Daniel,4.14 avg rating — 80 ratings
North of Beautiful,Justina Chen,"3.92 avg rating — 35,440 ratings"
June Cleaver Sexual Deviant,Benjamin R.  Smith,4.62 avg rating — 32 ratings
"Raven's Peak (World on Fire, #1)",Lincoln Cole,3.85 avg rating — 839 ratings
Calico Jack in your Garden,Karl Wiggins,4.21 avg rating — 206 ratings
"Complicated Moonlight (DCYE, #2)",Lynessa Layne,4.30 avg rating — 251 ratings
"Hardship & Devotion: ... Against All Odds, Can True Love Prevail?",McKaylin L. Felton,3.92 avg rating — 39 ratings
"Truth (Consequences, #2)",Aleatha Romig,"4.35 avg rating — 31,408 ratings"
"Thunderstorm (Daughters of Eden, #1)",J.M. Schroder,3.91 avg rating — 65 ratings
"First Frost (Frost, #1)",Liz DeJesus,3.63 avg rating — 625 ratings
"The Emperor's Edge (The Emperor's Edge, #1)",Lindsay Buroker,"4.05 avg rating — 14,654 ratings"
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose",Diamante Lavendar,"4.29 avg rating — 1,558 ratings"
Call of the Kami,Teresa Garcia,4.15 avg rating — 20 ratings
Shit my History Teacher DID NOT tell me!,Karl Wiggins,4.07 avg rating — 269 ratings
Journey to the West: A Long March from Eastern Dream to Western Reality,Biao  Wang,4.33 avg rating — 125 ratings
"Charmeine (The Light-Bearer, #1)",Emily Guido,3.95 avg rating — 126 ratings
"Bonded (Law of the Lycans, #4)",Nicky Charles,"4.16 avg rating — 12,950 ratings"
Miscellaneous Stuff & Stuff,Jim Henry,3.75 avg rating — 20 ratings
Liberty or Death (The Soldier Chronicles #1),David        Cook,4.26 avg rating — 284 ratings
Exotic Neurotic,Kenneth Jarrett Singleton,"3.68 avg rating — 2,452 ratings"
Mistress Suffragette,Diana   Forbes,"4.29 avg rating — 4,865 ratings"
"Of Poseidon (The Syrena Legacy, #1)",Anna Banks,"really liked it4.00 avg rating — 50,018 ratings"
Southern Mystical Moments,Patricia H. Graham,4.27 avg rating — 78 ratings
Scars of the Earth,C.S. Moore,3.74 avg rating — 81 ratings
"Ancient Blood: A Novel of the Hegemony (The Order Saga, #1)",Brian McKinley,4.27 avg rating — 153 ratings
"Sword's Call (The King's Riders, #1)",C.A. Szarek,3.67 avg rating — 161 ratings
"Ashes and Ice (Ashes and Ice, #1)",Rochelle Maya Callen,3.64 avg rating — 519 ratings
"Bared to You (Crossfire, #1)",Sylvia Day,"4.15 avg rating — 515,211 ratings"
"Crashing Back Down (Crashing, #1)",Kristen Hope Mazzola,3.80 avg rating — 595 ratings
"Yours Truly, Taddy (The Undergrad Years, #2; Invitation to Eden, #1)",Avery Aster,3.71 avg rating — 777 ratings
"Losing It (Losing It, #1)",Cora Carmack,"3.72 avg rating — 106,551 ratings"
"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.15 avg rating — 183 ratings
"The Stereotypical Freaks (Forever Friends, #1)",Howard  Shapiro,4.02 avg rating — 233 ratings
Exodus: A Requiem for Jacob Forlorn,lazarusInfinity,4.20 avg rating — 20 ratings
"Thrall (Thrall, #1)",Julie Mannino,3.77 avg rating — 95 ratings
"Saving Ella (Mercy's Angels, #1)",Kirsty Dallas,"3.96 avg rating — 2,694 ratings"
Highway of Diamonds: An International Travel Adventure,J. Jaye Gold,4.59 avg rating — 41 ratings
Noble Cause,Jessica           James,4.14 avg rating — 857 ratings
"Swamp Magic (Swamp Magic, #1)",Bobbi Romans,3.45 avg rating — 51 ratings
Little Red Riding Hood,Julie Mannino,3.30 avg rating — 125 ratings
"Outback Hearts (Beyond Reality, #1)",Susan Stoker,"3.97 avg rating — 1,120 ratings"
"Persephone (Daughters of Zeus, #1)",Kaitlin Bevis,"3.82 avg rating — 5,164 ratings"
A House Without Windows,Stevie Turner,3.61 avg rating — 619 ratings
Loki's Price,Julie Mannino,4.47 avg rating — 36 ratings
"Secrets (Secrets, #1)",Julie Mannino,3.99 avg rating — 78 ratings
"Secrets II (Secrets, #2)",Julie Mannino,3.85 avg rating — 67 ratings
Shadow's Passion (Shadow Warder #0.5),Molle McGregor,3.94 avg rating — 297 ratings
Dogshit Saved My Life,Karl Wiggins,4.15 avg rating — 166 ratings
"Saving Me (Heat Wave, #1)",Alannah Lynne,"3.87 avg rating — 1,327 ratings"
